"Dato";"Forklaring";"Rentedato";"Uttak";"Innskudd";"Category"
"26.12.2019";"Kontoregulering  239 Bjarne Harstad Mobil Overføring";"26.12.2019";"";"16.000,00";"Income"
"26.12.2019";"Varekjøp Snap Drive AS Sandakervn 6 Oslo Dato 26.12 kl. 07.06";"26.12.2019";"499,00";"";"Transport"
"24.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 24.12 kl. 16.49";"25.12.2019";"352,23";"";"Groceries"
"23.12.2019";"Visa  100022  Nok 499,00 Evasolocom";"25.12.2019";"499,00";"";"Home & Interior"
"23.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 23.12 kl. 21.48";"24.12.2019";"356,21";"";"Groceries"
"21.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 21.12 kl. 18.34";"23.12.2019";"355,18";"";"Groceries"
"17.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 17.12 kl. 18.07";"18.12.2019";"213,31";"";"Groceries"
"16.12.2019";"Varekjøp Ark Grunerløkka Th. Meyersgt Oslo Dato 16.12 kl. 18.26";"17.12.2019";"259,80";"";"Home & Interior"
"16.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 16.12 kl. 19.05";"17.12.2019";"199,58";"";"Groceries"
"16.12.2019";"Kontoregulering  236 Bjarne Harstad Mobil Overføring";"16.12.2019";"";"2.000,00";"Income"
"16.12.2019";"Kontoregulering  367 Helene Harstad Mobil Overføring";"16.12.2019";"";"2.000,00";"Income"
"14.12.2019";"Varekjøp Meny Oslo City Stenersgt.1 Oslo Dato 14.12 kl. 16.09";"16.12.2019";"273,77";"";"Groceries"
"14.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 14.12 kl. 17.35";"16.12.2019";"893,62";"";"Groceries"
"14.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 14.12 kl. 18.52";"16.12.2019";"67,90";"";"Groceries"
"14.12.2019";"Varekjøp Elektroimportør Strømsveien Oslo Dato 14.12 kl. 15.11";"16.12.2019";"79,00";"";"Home & Interior"
"13.12.2019";"Varekjøp Dattera Til Hagen Oslo Dato 13.12 kl. 21.13";"16.12.2019";"72,00";"";"Food & Drinks"
"13.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 13.12 kl. 22.34";"16.12.2019";"22,53";"";"Groceries"
"13.12.2019";"Varekjøp Dattera Til Hagen Oslo Dato 13.12 kl. 20.14";"16.12.2019";"72,00";"";"Food & Drinks"
"12.12.2019";"Varekjøp Clas Ohl 2852 Vitaminveien Oslo Dato 12.12 kl. 19.37";"13.12.2019";"816,20";"";"Home & Interior"
"10.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 10.12 kl. 16.18";"11.12.2019";"455,75";"";"Groceries"
"09.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 09.12 kl. 20.29";"10.12.2019";"349,62";"";"Groceries"
"09.12.2019";"Varekjøp Rema Torshovdal Hans Nielsen Oslo Dato 09.12 kl. 17.06";"10.12.2019";"130,78";"";"Groceries"
"08.12.2019";"Varekjøp Henie Onstad Ku Sonja Henies Kunsts Dato 08.12 kl. 12.53";"09.12.2019";"399,00";"";"Entertainment"
